# File ORIGINALLY generated by...,,,,,,,,,
# program:      StateModGUI 07.03.01 (2009-06-19),,,,,,,,,
# user:         sam,,,,,,,,,
# date:         Wed Dec 22 18:50:32 MST 2010,,,,,,,,,
# host:         AMAZON,,,,,,,,,
# directory:    C:\CDSS\data\cm2009\statemod,,,,,,,,,
# command line: StateModGUI -home,,,,,,,,,
#            C:\Develop\StateModGUI_SourceBuild/StateModGUI/test/operational/CDSS,,,,,,,,,
#,,,,,,,,,
# ris ORIGINALLY had 133 out of 213 locations with missing spatial data.,,,,,,,,,
#
# Coordinates provided in updated file by Carolyn Fritz, CWCB, 2010-12-29, as "x-gui-MissingSpatial-ris.csv"
# File cleaned up by Steve Malers
#,,,,,,,,,
# Specify X and Y in projected coordinates to match other layer data.,,,,,,,,,
#,,,,,,,,,
"ID","Name","Long","Lat","X","Y","Note"
514603,WILLIAMS FORK TUNNEL,-105.906172,39.76153,422380.3,4401682.5,GUI Detected no coordinates
514620,CBT GRANBY RESERVOIR,,,,,GUI Detected no coordinates
514625,BERTHOUD CANAL TUNNEL,-105.778074,39.797315,433387.4,4405551.1,GUI Detected no coordinates
520658,WILMOT DITCH,-106.527935,39.904717,369392,4418299.2,GUI Detected no coordinates
522006,MIN FLOW SHEEPHORN CREEK,,,,,GUI Detected no coordinates
530555,DERBY DITCH,-107.066621,39.942832,323440,4423457,GUI Detected no coordinates
530585,GLENWOOD L WTR CO SYS/NO,-107.291813,39.568265,303134.9,4382349.4,GUI Detected no coordinates
530632,HORSE MEADOWS DITCH,-107.20704,39.795016,311037,4407336.4,GUI Detected no coordinates
530657,KAYSER DITCH,-106.687614,40.003026,355948.4,4429457,GUI Detected no coordinates
530678,LION BASIN DITCH,-107.094272,39.899136,320963.6,4418661.8,GUI Detected no coordinates
530883,WILSON AND DOLL DITCH,-106.982263,39.805334,330308.9,4408031.2,GUI Detected no coordinates
531051,GLENWOOD L WTR CO SYS/GR,-107.270979,39.608247,305037,4386742,GUI Detected no coordinates
531082,MACFARLANE DITCH,-106.945487,40.032464,334006.9,4433173.6,GUI Detected no coordinates
532002,MIN FLOW ROCK CREEK,,,,,GUI Detected no coordinates
700521,CLEAR CREEK DITCH,-108.322056,39.490388,214302.6,4376468.3,GUI Detected no coordinates
700596,UPPER ROAN CREEK DITCH,-108.463049,39.526914,202330.5,4380980.7,GUI Detected no coordinates
720557,BULL BASIN HIGHLINE D,-108.037755,39.12226,237383.4,4334739.1,GUI Detected no coordinates
720580,COOK DITCH,-107.955657,39.277662,245045.1,4351755,GUI Detected no coordinates
720616,NEW ERIE CANAL,-107.762751,39.207786,261451,4343472.4,GUI Detected no coordinates
720649,GROVE CR DITCH CO NO 1 D,-107.904034,39.185191,249169.5,4341346,GUI Detected no coordinates
720764,MARTIN CRAWFORD DITCH,-108.294422,39.132252,215229.7,4336622.9,GUI Detected no coordinates
720784,MESA CREEK DITCH,-108.127129,39.086867,229520,4331072.8,GUI Detected no coordinates
720820,PARK CREEK DITCH (VEGA),-107.812988,39.205108,257103.3,4343308.7,GUI Detected no coordinates
723839,LEON LAKE RESERVOIR,-107.802107,39.068302,257574,4328094,GUI Detected no coordinates
724721,OWENS CREEK DITCH,-107.585313,39.245318,276893,4347186,GUI Detected no coordinates
950040,YAMPA-STILLWATER IMPORT,,,,,GUI Detected no coordinates
953800,BIG_BONHAM AGG RSVR,,,,,GUI Detected no coordinates
